Crop Stage,Region,Crop Disease,Temp (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),Soil pH,Cause,Organic Cure,Inorganic Cure
Silking,Gondia,Leaf Blight,26,66.7,30.8,141.6,5.43,Fungal infection due to high humidity,Use neem oil spray weekly,Apply Mancozeb fungicide
Grain Filling,Nagpur,Downy Mildew,30.6,41.4,36.1,98.4,7.48,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Vegetative Growth,Buldhana,Downy Mildew,30.9,75,30.2,98.9,7.23,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Vegetative Growth,Latur,Smut,35.1,50.2,21.8,72.1,5.93,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Vegetative Growth,Jalna,Rust,31.4,60.8,37,114.9,5.56,Fungal spores spread by wind,Use resistant hybrid varieties,Apply Propiconazole fungicide
Silking,Nandurbar,Leaf Blight,33.2,70.3,17.1,146.5,5.42,Fungal infection due to high humidity,Use neem oil spray weekly,Apply Mancozeb fungicide
Maturation & Harvest,Nandurbar,Leaf Blight,32.8,63.7,28.5,82.8,5.66,Fungal infection due to high humidity,Use neem oil spray weekly,Apply Mancozeb fungicide
Germination & Emergence,Solapur,Leaf Blight,30.5,67.6,31.7,147.5,5.84,Fungal infection due to high humidity,Use neem oil spray weekly,Apply Mancozeb fungicide
Germination & Emergence,Sindhudurg,Downy Mildew,29.5,90.6,17.2,165.5,6.57,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Silking,Dhule,Leaf Blight,28.5,59.4,12.3,125.4,6.59,Fungal infection due to high humidity,Use neem oil spray weekly,Apply Mancozeb fungicide
Germination & Emergence,Solapur,Downy Mildew,29.2,80.1,38.5,112.7,5.2,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Seedling Stage,Sindhudurg,Downy Mildew,28.8,75.6,23.3,299.5,5.65,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Tasseling,Ratnagiri,Smut,31.3,84.7,36.2,261.3,5.67,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Silking,Gondia,Downy Mildew,30.3,60.8,33.1,89.1,6.94,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Tasseling,Mumbai City,Gray Leaf Spot,26.5,63,13.9,195.6,6.39,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
Germination & Emergence,Akola,Downy Mildew,36.8,60.8,32.8,62.7,6.7,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Maturation & Harvest,Marathwada,Smut,31.3,67.5,32.7,104.7,6.6,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Silking,Mumbai Suburban,Downy Mildew,28,77,17,113.1,5.77,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Maturation & Harvest,Gadchiroli,Healthy,32.4,57.6,28.8,81.4,7.16,Optimal growing conditions and good management,Maintain balanced fertilization and irrigation,No treatment required
Germination & Emergence,Nandurbar,Leaf Blight,30,55.9,20.2,189.6,7.46,Fungal infection due to high humidity,Use neem oil spray weekly,Apply Mancozeb fungicide
Silking,Marathwada,Smut,28.9,73.3,31.7,77.4,5.95,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Grain Filling,Kolhapur,Leaf Spot,25,72.5,15.3,255.1,6.37,Bacterial infection from contaminated soil,Rotate crops and maintain spacing,Apply Copper oxychloride
Vegetative Growth,Chandrapur,Rust,29,59.1,39.2,104.5,6.08,Fungal spores spread by wind,Use resistant hybrid varieties,Apply Propiconazole fungicide
Germination & Emergence,Mumbai City,Healthy,30.7,70,10.9,99.7,5.26,Optimal growing conditions and good management,Maintain balanced fertilization and irrigation,No treatment required
Vegetative Growth,Osmanabad,Gray Leaf Spot,31.7,58.5,35.6,71.5,6.45,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
Grain Filling,Marathwada,Smut,33.6,59.2,21.9,66.7,7.3,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Germination & Emergence,Jalna,Gray Leaf Spot,32,62.9,30.1,117.1,6.97,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
Maturation & Harvest,Akola,Smut,34.1,58,32,96.9,7.5,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Maturation & Harvest,Gondia,Gray Leaf Spot,28.3,64.6,13,106.8,5.28,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
